timestamp,frame_id,current_count,avg_count,low_stock_alert,fps,event_type
2026-03-01T10:30:25.196892,0,3,3.0,0,2.17,alert_change
2026-03-01T10:30:26.211665,13,3,2.8,0,12.89,periodic
2026-03-01T10:30:26.722081,20,2,2.4,1,14.39,alert_change
2026-03-01T10:30:27.774014,34,4,2.6,1,13.61,periodic
2026-03-01T10:30:28.219125,40,3,3.0,0,11.71,alert_change
2026-03-01T10:30:29.230790,54,4,3.7,0,14.62,periodic
2026-03-01T10:30:30.262994,68,4,3.4,0,12.84,periodic
2026-03-01T10:30:31.300155,81,3,3.7,0,11.06,periodic
2026-03-01T10:30:32.353224,94,4,3.4,0,14.5,periodic
2026-03-01T10:30:33.409484,108,3,3.0,0,13.75,periodic
2026-03-01T10:30:34.441304,122,3,3.2,0,11.78,periodic
2026-03-01T10:30:35.523852,136,3,3.2,0,10.77,periodic
2026-03-01T10:30:36.597731,150,4,3.4,0,11.85,periodic
2026-03-01T10:30:37.636957,164,4,3.6,0,13.94,periodic
2026-03-01T10:30:38.677752,178,4,3.4,0,13.95,periodic
2026-03-01T10:30:39.710241,191,2,2.7,0,12.49,periodic
2026-03-01T10:30:40.761689,204,4,3.6,0,14.07,periodic
2026-03-01T10:30:41.822854,218,4,4.0,0,14.02,periodic
2026-03-01T10:30:42.866889,232,4,4.0,0,13.08,periodic
2026-03-01T10:30:43.883496,245,4,4.0,0,12.15,periodic
2026-03-01T10:30:44.915768,259,4,4.0,0,11.98,periodic
2026-03-01T10:30:45.942867,273,4,4.0,0,13.21,periodic
2026-03-01T10:30:46.953886,286,3,3.2,0,12.66,periodic
2026-03-01T10:30:47.960640,299,3,3.0,0,13.17,periodic
2026-03-01T10:30:49.011279,313,3,3.0,0,13.86,periodic
2026-03-01T10:30:50.076487,327,3,3.0,0,14.11,periodic
2026-03-01T10:30:51.097886,341,3,3.0,0,14.64,periodic
2026-03-01T10:30:52.100110,354,4,3.7,0,11.98,periodic
2026-03-01T10:30:53.154370,368,4,4.0,0,11.6,periodic
2026-03-01T10:30:54.198105,382,4,4.0,0,14.21,periodic
2026-03-01T10:30:55.276442,396,4,4.0,0,12.58,periodic
2026-03-01T10:30:56.304042,408,3,3.8,0,10.54,periodic
2026-03-01T10:30:57.337376,421,3,3.0,0,13.99,periodic
2026-03-01T10:30:58.385410,435,3,3.0,0,13.84,periodic
2026-03-01T10:30:59.390900,448,4,3.7,0,13.47,periodic
2026-03-01T10:31:00.406231,461,4,4.0,0,12.43,periodic
2026-03-01T10:31:01.442571,475,3,3.6,0,11.72,periodic
2026-03-01T10:31:02.476974,489,2,2.3,0,12.72,periodic
2026-03-01T10:31:03.151202,498,3,2.3,1,14.25,alert_change
2026-03-01T10:31:04.035618,510,4,3.1,0,14.13,alert_change
2026-03-01T10:31:05.040286,523,4,4.0,0,11.91,periodic
2026-03-01T10:31:06.087648,537,4,4.0,0,13.02,periodic
