timestamp,frame_id,current_count,avg_count,low_stock_alert,fps,event_type
2026-02-24T09:01:01.636324,0,3,3.0,0,1.52,alert_change
2026-02-24T09:01:02.682263,13,4,3.6,0,12.04,periodic
2026-02-24T09:01:03.683455,26,4,4.0,0,12.65,periodic
2026-02-24T09:01:04.697062,39,4,3.7,0,12.16,periodic
2026-02-24T09:01:05.771633,53,4,4.0,0,12.62,periodic
2026-02-24T09:01:06.849573,67,3,3.9,0,12.7,periodic
2026-02-24T09:01:07.859615,80,3,3.6,0,12.82,periodic
2026-02-24T09:01:08.863064,93,3,3.0,0,12.89,periodic
2026-02-24T09:01:09.878789,106,3,3.0,0,12.94,periodic
2026-02-24T09:01:10.896316,119,3,3.0,0,13.77,periodic
2026-02-24T09:01:11.915152,132,2,2.2,0,12.47,periodic
2026-02-24T09:01:12.836215,144,2,2.0,1,12.91,alert_change
2026-02-24T09:01:13.860451,157,2,2.0,1,13.01,periodic
2026-02-24T09:01:14.892535,170,2,2.0,1,14.82,periodic
2026-02-24T09:01:15.746072,181,3,3.0,0,13.46,alert_change
2026-02-24T09:01:16.775109,194,3,3.0,0,12.28,periodic
2026-02-24T09:01:17.841233,208,2,2.2,0,14.27,periodic
2026-02-24T09:01:18.781625,220,2,2.0,1,13.8,alert_change
2026-02-24T09:01:19.787237,233,3,2.4,1,12.17,periodic
2026-02-24T09:01:20.176641,238,3,3.0,0,13.08,alert_change
2026-02-24T09:01:21.249598,252,3,3.0,0,13.41,periodic
2026-02-24T09:01:22.271101,265,3,3.2,0,13.0,periodic
2026-02-24T09:01:23.284848,278,4,4.0,0,11.67,periodic
2026-02-24T09:01:24.368355,292,4,4.0,0,11.66,periodic
2026-02-24T09:01:25.385911,305,3,3.9,0,11.88,periodic
2026-02-24T09:01:26.393069,318,3,3.0,0,14.0,periodic
2026-02-24T09:01:27.410089,331,2,2.8,0,13.47,periodic
2026-02-24T09:01:28.430902,344,2,2.0,0,11.9,periodic
2026-02-24T09:01:28.814005,349,2,2.0,1,13.1,alert_change
2026-02-24T09:01:29.862253,363,1,1.3,1,14.65,periodic
2026-02-24T09:01:30.873294,376,1,1.0,1,12.02,periodic
2026-02-24T09:01:31.897803,388,0,0.2,1,13.44,periodic
2026-02-24T09:01:32.912834,401,0,0.0,1,13.36,periodic
2026-02-24T09:01:33.935822,414,0,0.0,1,13.42,periodic
